id,state,body,address,level,type,statement_content,target_1,target_2,target_3,target_4,target_5,prohibited_1,prohibited_2,prohibited_3,prohibited_4,required_1,required_2,required_3,trigger_1,trigger_2,trigger_3,trigger_4,trigger_5,trigger_6,trigger_7,enforcement_1,enforcement_2,enforcement_3,category,bill,related,date_intro,date_adopted,date_checked,progress,url_source,url_text
CA-3,CA,Paso Robles School Board,"800 Niblick Road, Paso Robles, CA 93446",LocalSch,Resolution,Not Specified,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Race or ethnicity & sex,,,7/22/21,8/11/21,6/15/22,Enacted,https://perma.cc/2Q4W-B8GG,https://perma.cc/3ZH7-2UHD
CA-4,CA,Ramona School Board,"720 9th Street, Ramona, CA 92065",LocalSch,Policy Change,Not Specified,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Race or ethnicity & sex,Board Policy 6142.3,,9/12/21,9/12/21,6/15/22,Enacted,https://www.sandiegouniontribune.com/ramona-sentinel/news/story/2021-08-29/ramona-school-board-bans-the-teaching-of-race-theories,https://perma.cc/5YA5-PDXP
CA-5,CA,Visalia Unified School Board,"5000 West Cypress Avenue, Visalia, CA 93277",LocalSch,Policy Change,Not Specified,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Specified,,,7/28/21,8/10/21,6/15/22,Enacted,https://drive.google.com/file/d/1nMouESRopPH81fWx-iT-BA2uQ7drYn-F/view,0
CA-6,CA,Newport-Mesa Unified,"2985 Bear Street, Costa Mesa, California 92626",LocalSch,Policy Change,Not Specified,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Specified,,,7/20/21,7/20/21,6/15/22,Enacted,,https://voiceofoc.org/2021/08/newport-mesa-school-district-officials-renew-amended-adl-anti-bias-training-contract/
CA-7,CA,Ramona School Board,"720 Ninth St. Ramona, CA 92065-2348",LocalSch,Policy Change,Not Specified,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Race or ethnicity & sex,,,9/12/21,,6/15/22,Rejected,https://perma.cc/C2KG-AU82,https://ca-times.brightspotcdn.com/a7/8d/ebf4aed44ea38a06e2e77ab46e90/i-6a-second-reading-of-recommended-changes-in-board-policy-6144-controversial-issues-081221-002.pdf
CA-8,CA,San Dieguito Union High School District ,"710 Encinitas Blvd. Encinitas, CA 92024",LocalSch,Policy Change,Not Specified,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Race or ethnicity, sex & more",Board Policy 6144,,10/14/21,,6/15/22,Rejected,,https://perma.cc/BRZ6-D8W8
CA-9,CA,Placentia-Yorba Linda Unified School District,"1301 E Orangethorpe Ave, Placentia, CA 92870",LocalSch,Resolution,Not Specified,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Race or ethnicity only,Resolution No. 21-12,,4/5/22,4/5/22,6/15/22,Enacted,,https://perma.cc/5K22-TCGY
CA-11,CA,Corona-Norca Unified School District,"2820 Clark Ave, Norco, CA",LocalOth,Legislation,Not Specified,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not specified,,,2/23/22,,7/5/22,Pending,,https://map.crtforward.law.ucla.edu/wp-content/uploads/2022/07/CA_11_Corona-Recall-Petition.pdf
CO-2,CO,Colorado Springs School District 49,"3850 Pony Tracks Dr, Colorado Springs, CO 80922",LocalSch,Resolution,Not Specified,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Race or ethnicity only,,,7/8/21,8/12/21,6/15/22,Enacted,http://go.boarddocs.com/co/d49/Board.nsf/goto?open&id=C55TCD76B4D8,https://perma.cc/K3GQ-AHDF
CO-3,CO,Legislature,,State,Legislation,Not Specified,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Specified,House Bill 1066,,1/14/22,,6/15/22,Expired or Withdrawn,https://leg.colorado.gov/bills/hb22-1066,https://leg.colorado.gov/sites/default/files/documents/2022A/bills/2022a_1066_01.pdf
